File;Title;Topic;Author Name; Email; Name2; Email2; Name3; Email3; Other Topics;Comment
SNOWMASS21-CF1_CF0-NF10_NF4-IF5_IF4_Vahsen-189.pdf;CYGNUS A nuclear recoil observatory;IF4;D. Aristizabal Sierra; ; ; ; ; ;; 
SNOWMASS21-CF6_CF0-IF4_IF7_Anze_Slosar-028.pdf;Packed Ultra-wideband Mapping Array (PUMA) Next generation facility for Sky Survey in Radio;IF4;Reza Ansari; ; ; ; ; ;; 
SNOWMASS21-CF7_CF0-NF10_NF4-IF10_IF4-139.pdf;The Radio Neutrino Observatory in Greenland (RNO-G);IF4;J. A. Aguilar; ; ; ; ; ;; 
SNOWMASS21-CF7_CF0-NF10_NF4-IF10_IF4_Wissel-088.pdf;The Beamforming Elevated Array for COsmic Neutrinos;IF4;Jaime Alvarez-Muniz; ; ; ; ; ;; 
SNOWMASS21-CompF3_CompF0-IF4_IF7-128.pdf;Fast Machine Learning;IF4;Maria Acosta Flechas; ; ; ; ; ;; 
SNOWMASS21-EF9-IF4-008.pdf;TRACK-BASED TRIGGERS FOR EXOTIC SIGNATURES;IF4;Tova R. Holmes; ; ; ; ; ;; 
SNOWMASS21-IF2_IF4_Charles_C._Young-115.pdf;Front-End Electronics and DAQ for Large Scintillator Arrays;IF4;Charles C. Young; ; ; ; ; ;; 
SNOWMASS21-IF2_IF7_IF3_IF4_IF5_IF6-056.pdf;Belle II Detector Upgrades;IF4;D. M. Asner; ; ; ; ; ;; 
SNOWMASS21-IF3_IF4-189.pdf;Muon Scintillator R&D;IF4;Xiaolong Wang; ; ; ; ; ;; 
SNOWMASS21-IF3_IF4_Garcia-Sciveres-019.pdf;Wavelength Division Multiplexed high speed optical readout;IF4;T. Dorch; ; ; ; ; ;; 
SNOWMASS21-IF4-004.pdf;Multigigabit wireless transfer of data for HEP experiments;IF4;Z. Djurcic; ; ; ; ; ;; 
SNOWMASS21-IF4-EF10-002.pdf;Triggering on charged particles using silicon pixel detectors;IF4;Ashutosh V. Kotwal; ; ; ; ; ;; 
SNOWMASS21-IF4_IF0-NF10_NF0-CompF3_CompF0-167.pdf;Data Acquisition and Trigger Enhancements for Low-Energy Events in DUNE;IF4;A. B. Balantekin; ; ; ; ; ;; 
SNOWMASS21-IF4_IF0-NF5_NF0_Noah_Oblath-046.pdf;DAQ System for a Large-Volume CRES Experiment;IF4;A. Ashtari Esfahani; ; ; ; ; ;; 
SNOWMASS21-IF4_IF0_Darin_Acosta_(acostad@ufl.edu)-010.pdf;Asynchronous First Level Trigger Systems for Future Collider Experiments;IF4;Alexander Madorsky; ; ; ; ; ;; 
SNOWMASS21-IF4_IF7-007.pdf;Radiation-hard high-speed ﬁber-optical data links for HEP;IF4;A. Paramonov; ; ; ; ; ;; 
SNOWMASS21-IF4_IF7-CompF3_CompF4_Miller-072.pdf;Self-driving data trigger, filtering, and acquisition;IF4;Yuxin Chen; ; ; ; ; ;; 
SNOWMASS21-IF4_IF7-CompF3_CompF4_Miller-132.pdf;Real-time adaptive deep-learning with embedded;IF4;Andrew A. Chien; ; ; ; ; ;; 
SNOWMASS21-IF4_IF7_Ryan_Herbst-121.pdf;FPGA Based Artificial Intelligence Inference In Triggered Detectors;IF4;Ryan Herbst; ; ; ; ; ;; 
SNOWMASS21-IF6_IF4-EF1_EF4-102.pdf;Advanced Optical Instrumentation for Ultra-compact, Radiation Hard EM Calorimetry;IF4;R. Ruchti; ; ; ; ; ;; 
SNOWMASS21-IF7_IF4-132.pdf;High-speed Instrumentation for Data Acquisition and Processing;IF4;Isar Mostafanezhad; ; ; ; ; ;; 
SNOWMASS21-IF7_IF4_Sandeep_Miryala-180.pdf;Edge Computing Devices for Detectors Developed for Scientific Applications;IF4;Sandeep Miryala; ; ; ; ; ;; 
SNOWMASS21-NF7_NF10-IF4_IF9_Adam_Bernstein-100.pdf;A Snowmass2021 Letter Of Interest for Encapsulation of Photosensors in kton–Mton Scale Neutrino Detectors;IF4;O. A. Akindele; ; ; ; ; ;; 
SNOWMASS21-RF5_RF0-IF4_IF0-039.pdf;Mu2e-II a 2-level TDAQ system based on FPGA pre-ﬁltering Letter of Interest for Snowmass 2021;IF4;R. Bonventre; ; ; ; ; ;; 
SNOWMASS21-RF5_RF0-IF4_IF0_Franco_Spinella-044.pdf;Mu2e-II a 2-level TDAQ system based on FPGA pre-processing and trigger Letter of Interest for Snowmass 2021;IF4;A. Gioiosa; ; ; ; ; ;; 
SNOWMASS21-RF5_RF0-IF4_IF0_Gianantonio_Pezzullo-040.pdf;Mu2e-II a 2-level TDAQ system based on FPGA pre-ﬁltering Letter of Interest for Snowmass 2021;IF4;R. Bonventre; ; ; ; ; ;; 
SNOWMASS21-RF5_RF0-IF4_IF0_Gianantonio_Pezzullo-041.pdf;Mu2e-II TDAQ based on GPU co-processor Letter of Interest for Snowmass 2021;IF4;N. H. Tran; ; ; ; ; ;; 
SNOWMASS21-RF5_RF0-IF4_IF0_Gianantonio_Pezzullo-042.pdf;Mu2e-II a trigger-less TDAQ system based on software trigger Letter of Interest for Snowmass 2021;IF4;N. H. Tran; ; ; ; ; ;; 
